,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,AD1000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1000-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
2,AD1010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1010-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,['Wood']
3,AD1020,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1020.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1020-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
4,AD1030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1030-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
5,AD1050,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1050.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1050-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
6,AD1060,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1060.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1060-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior",[u'TruStile MDF'],"1-3/8"", 1-3/4"", 2-1/4""",,,[]
7,AD1070,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1070.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1070-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior",[u'TruStile MDF'],"1-3/8"", 1-3/4"", 2-1/4""",,,[]
8,AD1100,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1100.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1100-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
9,AD1110,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a1110.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a1110-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
10,AD3000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a3000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a3000-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,['Wood']
11,AD3030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/a3030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/a3030-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,"['Wood', 'Glass']"
12,Ashley,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ashley.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ashley-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,['Wood']
13,Casablanca,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/casablanca.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/casablanca-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior",[u'TruStile MDF'],"1-3/8"", 1-3/4"", 2-1/4""",,,[]
14,Celebrity,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/celebrity.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/celebrity-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 2-1/4""",,,['Wood']
15,Ellington,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ellington.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ellington-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,['Wood']
16,Epic,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/epic.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/epic-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,['Wood']
17,Monticello,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/monticello.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/monticello-pair.png', 'type': 'Pair of Doors'}]",Design (CD) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,,['Wood']
